('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         397784 function calls (383418 primitive calls) in 6.359 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1847    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
     1968    0.000    0.000    0.001    0.000 element.py:1882(descendants)
     5412    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     2202    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     2249    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     1426    0.000    0.000    0.001    0.000 element.py:1456(get)
       86    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      402    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      577    0.000    0.000    0.001    0.000 sre_parse.py:408(_uniq)
     2462    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      114    0.000    0.000    0.002    0.000 typing.py:608(__init__)
      320    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      108    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
     1255    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
       29    0.000    0.000    0.037    0.001 <frozen importlib._bootstrap_external>:793(get_code)
     1256    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
     1188    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
      118    0.000    0.000    0.049    0.000 sre_parse.py:913(parse)
      577    0.000    0.000    0.000    0.000 {built-in method fromkeys}
  540/526    0.000    0.000    0.003    0.000 typing.py:248(inner)
1193/1128    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     2812    0.000    0.000    0.000    0.000 element.py:1499(__bool__)
      502    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      532    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      118    0.000    0.000    0.001    0.000 enum.py:841(__and__)
  566/537    0.000    0.000    0.000    0.000 typing.py:669(__hash__)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
      427    0.000    0.000    0.001    0.000 _htmlparser.py:189(handle_data)
      236    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      425    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
       39    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      502    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      398    0.000    0.000    0.001    0.000 enum.py:289(__call__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      826    0.000    0.000    0.000    0.000 typing.py:595(_is_dunder)
       86    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      118    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      130    0.000    0.000    0.001    0.000 typing.py:113(_type_check)
      429    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
     1334    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     32/1    0.000    0.000    6.359    6.359 {built-in method builtins.exec}
     1582    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       37    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1985    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     40/1    0.000    0.000    0.178    0.178 <frozen importlib._bootstrap>:978(_find_and_load)
     1339    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      398    0.000    0.000    0.000    0.000 enum.py:531(__new__)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      118    0.000    0.000    0.028    0.000 sre_compile.py:598(_code)
       81    0.000    0.000    0.000    0.000 enum.py:835(__or__)
  132/111    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       84    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
      515    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       78    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      120    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
      271    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
      256    0.000    0.000    0.081    0.000 re.py:234(compile)
      118    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
        1    0.000    0.000    6.181    6.181 financial.py:9(financial)
       63    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
     40/1    0.000    0.000    0.178    0.178 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      950    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1062    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       92    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
     34/1    0.000    0.000    0.178    0.178 <frozen importlib._bootstrap>:663(_load_unlocked)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
       48    0.000    0.000    0.000    0.000 __init__.py:617(_linkage_fixer)
      425    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        2    0.000    0.000    0.000    0.000 __init__.py:316(namedtuple)
      199    0.000    0.000    0.000    0.000 types.py:164(__get__)
      860    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
     29/1    0.000    0.000    0.178    0.178 <frozen importlib._bootstrap_external>:722(exec_module)
    35/21    0.000    0.000    0.001    0.000 typing.py:340(__getitem__)
      118    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
      236    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       76    0.000    0.000    0.000    0.000 element.py:1330(_all_strings)
      464    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       36    0.000    0.000    0.000    0.000 element.py:1985(__init__)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:581(parse_pseudo_class)
        1    0.000    0.000    0.002    0.002 typing.py:19(<module>)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       29    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.000    0.000    0.099    0.099 css_parser.py:1(<module>)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
