('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         397705 function calls (383352 primitive calls) in 1.188 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2111    0.000    0.000    0.005    0.000 {built-in method builtins.next}
     1968    0.000    0.000    0.001    0.000 element.py:1882(descendants)
       86    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      402    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
     2249    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      425    0.000    0.000    0.002    0.000 element.py:932(__new__)
      577    0.000    0.000    0.001    0.000 sre_parse.py:408(_uniq)
     1426    0.000    0.000    0.001    0.000 element.py:1456(get)
     2462    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
     1847    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
      114    0.000    0.000    0.002    0.000 typing.py:608(__init__)
  540/526    0.000    0.000    0.003    0.000 typing.py:248(inner)
      577    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      320    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      532    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
     2812    0.000    0.000    0.000    0.000 element.py:1499(__bool__)
       29    0.000    0.000    0.039    0.001 <frozen importlib._bootstrap_external>:793(get_code)
      118    0.000    0.000    0.050    0.000 sre_parse.py:913(parse)
     1188    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
1193/1128    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1255    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
      118    0.000    0.000    0.001    0.000 enum.py:841(__and__)
     1256    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
      502    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
  566/537    0.000    0.000    0.000    0.000 typing.py:669(__hash__)
      425    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
      236    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      826    0.000    0.000    0.000    0.000 typing.py:595(_is_dunder)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      502    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      118    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      108    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      427    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      398    0.000    0.000    0.001    0.000 enum.py:289(__call__)
     1985    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     1334    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     32/1    0.000    0.000    1.188    1.188 {built-in method builtins.exec}
      130    0.000    0.000    0.001    0.000 typing.py:113(_type_check)
     1339    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     40/1    0.000    0.000    0.181    0.181 <frozen importlib._bootstrap>:978(_find_and_load)
       86    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
       39    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:882(_find_spec)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       37    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     1582    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
  132/111    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      118    0.000    0.000    0.029    0.000 sre_compile.py:598(_code)
       81    0.000    0.000    0.000    0.000 enum.py:835(__or__)
      398    0.000    0.000    0.000    0.000 enum.py:531(__new__)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        2    0.000    0.000    0.000    0.000 __init__.py:316(namedtuple)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
       63    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      515    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     34/1    0.000    0.000    0.181    0.181 <frozen importlib._bootstrap>:663(_load_unlocked)
      118    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      429    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       78    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      120    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
      271    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
      950    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       92    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      860    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      118    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
      199    0.000    0.000    0.000    0.000 types.py:164(__get__)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        1    0.000    0.000    0.103    0.103 css_parser.py:1(<module>)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
      464    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    42/30    0.000    0.000    0.011    0.000 css_parser.py:581(parse_pseudo_class)
      256    0.000    0.000    0.082    0.000 re.py:234(compile)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
     1062    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      236    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      119    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       48    0.000    0.000    0.000    0.000 __init__.py:617(_linkage_fixer)
    35/21    0.000    0.000    0.001    0.000 typing.py:340(__getitem__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     40/1    0.000    0.000    0.181    0.181 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      425    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        1    0.000    0.000    1.007    1.007 financial.py:9(financial)
      117    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       29    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     29/1    0.000    0.000    0.181    0.181 <frozen importlib._bootstrap_external>:722(exec_module)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      302    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
        1    0.000    0.000    0.029    0.029 dammit.py:2310(EntitySubstitution)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
      177    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
       36    0.000    0.000    0.000    0.000 element.py:1985(__init__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:741(parse_pseudo_open)
       25    0.000    0.000    0.000    0.000 typing.py:180(_subs_tvars)
        1    0.000    0.000    0.002    0.002 typing.py:19(<module>)
        1    0.000    0.000    0.000    0.000 css_match.py:378(Inputs)
       76    0.000    0.000    0.000    0.000 element.py:1330(_all_strings)
      163    0.000    0.000    0.000    0.000 enum.py:633(value)
       44    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      206    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
